,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2020年8月,2327030,320320,369880,594030,227630,328520,845470,375250,713400,559790,298350,1292000,2283210,1418410,667760,213310,445230,266850,492450,1232790,407540,1560170,851820,513030,305430,972450,1048040,925800,190980,434800,213760,221480,321250,605210,273370,154310,243700,268030,239470,688850,138390,338080,408670,390160,237260,408140,971850
2020年9月,2372470,339500,446990,577650,255090,334410,859270,349020,644440,485410,291570,1185300,2454690,1344690,619290,225580,467380,211140,438720,1078150,405410,1223100,939150,460250,261110,1124520,1324680,823570,161130,325990,186620,220350,336240,696140,351050,127490,233140,269050,193440,808960,169190,394220,414280,435830,237290,428950,1015980
2020年10月,2567290,410560,520290,730180,335910,421590,990420,414190,811640,607470,340210,1388970,3451200,1567050,749670,251220,541510,258080,483580,1268470,494410,1454390,1087590,577390,289770,1361370,1809460,924800,170220,378070,236260,291760,402990,733520,388730,146480,277030,336290,210760,1033800,206760,520280,486340,537140,339840,575330,1388860
2020年11月,1800370,357290,467560,746140,292640,416980,993380,462580,856820,655290,360920,1603190,3888860,1603270,695000,261760,717430,315090,541710,1125930,501650,1636660,1142450,653010,329380,2025370,2022580,1036390,201880,446030,272230,321420,424140,786820,352280,171330,313820,367090,233920,1202640,229580,619170,583520,610880,384780,643770,1479530
2020年12月,1247290,282870,360700,610850,228030,294450,799600,414510,624500,515150,343700,1548610,3604480,1472200,562770,190410,530840,237770,369860,865400,374930,1428300,1006970,529840,245700,1375160,1373160,896980,136150,334330,215040,227120,335620,560990,290880,161560,225760,276250,160490,1025750,194200,504730,479260,460350,313620,534810,1275310
2021年1月,978230,220840,288190,354450,159350,206920,582390,266710,297920,260860,221830,798150,2020550,897770,372140,112100,209740,114400,201490,607390,217780,752190,668890,285040,142220,531780,1019080,491090,74410,178560,126520,125920,249800,307570,213500,76940,112710,139080,92360,588790,87290,247680,247020,208880,148510,265360,627330
2021年2月,1083490,226130,300750,396110,174370,235620,587510,265200,291900,270090,212370,702380,2166110,880890,406660,112000,229670,125660,181480,662020,221630,751980,625130,260970,157380,590550,921810,501770,82730,177780,135830,142560,259870,367040,205330,93770,119690,144760,111280,516140,90460,250550,257780,220340,210940,284550,611810
2021年3月,1445680,268700,380520,537110,176850,309440,786450,384020,553760,435060,280580,1030950,2863640,1161060,556560,204850,411760,208810,357610,950970,348990,1230320,991090,476610,227410,1160510,1586870,802890,147910,321700,230770,250460,375690,510790,281690,149630,227940,242630,171400,868040,140030,447010,420140,384630,292920,460100,1091450
2021年4月,1221760,243820,295120,383330,171740,191690,606770,337570,471090,389280,277100,1032990,2851110,1068120,415170,177370,321370,145970,288790,592400,271170,1035970,854090,352590,186330,722020,1135270,561680,106940,218300,167640,211250,263820,434250,243890,125390,152360,167910,137860,756980,107930,364150,405320,321530,240490,349250,947490
2021年5月,1168190,242360,351070,416960,208440,241630,579190,341480,521420,350190,260720,984570,2485260,1075320,458730,156810,264120,141120,361650,702050,266660,1095250,774890,346260,193780,522470,816850,444880,100250,212090,167890,213170,218710,375720,246210,100500,133840,143970,139910,561570,97390,257640,334310,258310,178620,353650,859680
2021年6月,1086360,253410,344270,459250,198060,247590,568360,308430,456960,283630,242060,926990,2785890,1014460,454290,142480,218600,144470,280300,605770,195340,919150,759620,326290,168710,613150,1062550,506580,81720,202060,154960,185360,240340,298030,215460,101200,121620,171020,97960,561410,88590,243970,274870,215570,199570,289400,587230
2021年7月,2016500,334600,428690,615920,257040,320210,732480,390700,658920,465010,334270,1358800,3825180,1293110,659820,239240,438850,241450,481320,1127580,366010,1372520,1040370,493180,282150,1037200,1553660,860790,141890,387180,216910,236380,349510,496850,294560,153480,217280,247250,171730,884530,149380,442030,436460,378080,326250,471120,972310
2021年8月,2176770,358910,377510,614730,251720,379450,724300,358470,701520,555010,338000,1460110,3535150,1428000,767990,263900,402470,281160,584120,1325890,399810,1652560,1039110,598410,322550,1013070,1534560,970590,179960,478840,200570,230730,296570,485080,305750,158690,237630,237580,209450,760870,154850,378090,384400,389810,250480,456330,1080320
2021年9月,1560640,283430,285750,454450,226890,293540,633590,298360,468080,348920,259480,1078300,2906810,1136980,494150,175060,265570,168260,371010,873970,240940,941220,771890,311920,174760,756800,1328260,604680,124300,289670,161010,189110,229260,351260,216920,123670,150540,164140,136430,638470,110130,274910,300830,285440,182610,321570,800400
2021年10月,2132300,390730,450370,679830,305340,355980,902300,400370,793930,512790,313300,1296630,3538150,1421780,707400,252540,454360,233250,491270,1241670,368180,1243690,1156190,489560,269360,1246980,1915560,850050,151290,351790,223290,262540,342660,636860,344450,162420,227770,246130,187370,989620,153200,510740,507740,432680,323320,481660,1122890
2021年11月,2021940,399080,479750,753920,261340,346860,881500,460850,920300,615870,348430,1593780,4171900,1610550,706080,293050,614090,267320,548210,1081570,451140,1561240,1241310,630680,315170,1953140,2221740,1080760,195450,410510,264040,307370,456940,768390,369100,164000,276070,318930,226480,1167780,196120,620740,567530,524430,393890,594490,1286680
2021年12月,2168160,376760,451540,768470,234590,322460,886760,481780,814120,614470,386580,1821220,5089560,1825370,718180,265070,621440,258310,457870,1070540,412940,1707000,1419890,606890,286860,1771970,2762530,1113390,165000,402860,236490,268840,422090,807200,364770,189910,292480,314340,227430,1326330,195020,632030,600560,540090,402690,598280,1484910
2022年1月,1895060,258370,379430,624890,182470,270780,701320,405410,602820,518890,324820,1359830,3542520,1520800,611130,176930,377580,166640,351660,1036680,333750,1299380,1079590,428120,191880,1112730,1772890,922460,127040,268520,104530,188670,265640,518590,213040,115670,194160,202840,185100,895440,142830,354470,378250,415210,216250,428760,771950
2022年2月,1572640,185390,289400,472490,167750,236880,540560,302630,441930,364210,272840,1148710,3319660,1350450,492240,162670,239280,137960,273530,812280,255740,988840,889830,333170,183360,872450,1414150,680280,103260,183060,86380,139660,220270,410230,219410,91300,145940,176150,159270,702900,96590,265140,298620,306450,201370,341250,728400
2022年3月,1946000,222780,369950,579150,168080,300410,659940,426350,698320,523850,360180,1724170,4180620,1656980,658950,210470,442350,200790,447370,980570,385060,1497640,1339430,624510,271060,1596420,2091470,1022490,156520,302360,121850,220590,344670,640730,355370,128020,272630,313820,193080,1078690,148630,476620,438250,570850,244270,532370,1331060
2022年4月,1822080,308860,373460,697590,202910,284910,770150,430690,714950,525710,381880,1621050,4496690,1755610,612000,271520,468280,194330,515140,872090,404020,1377150,1204520,542700,261250,1507400,2091800,932750,175820,288580,140800,237450,395110,705280,338880,139780,219660,281340,205570,1078460,183130,529840,478890,474780,249160,474550,1394710
2022年5月,2293340,344210,471410,724140,263900,324490,761990,441730,857790,597990,352930,1725050,4256200,1784610,681840,269550,573210,220420,624480,1218910,497060,1465010,1357440,603310,283470,1833890,2409370,1072730,188140,342320,150690,270520,409390,739290,395760,169920,264850,330420,240060,1094740,192050,553080,505530,499590,259410,537810,1286260
2022年6月,2587650,365820,461140,689070,263890,328270,756520,463750,727610,527070,384190,1670700,4450960,1687560,632210,235140,464010,206490,533300,1031430,407530,1202480,1233020,461600,253270,1680020,2203720,912650,161620,276760,156870,224450,363070,606200,322770,125780,223110,307330,189560,1036450,158730,449830,485100,456430,244810,425210,1437350
2022年7月,3145570,399250,484750,696410,265660,365840,785070,432890,811920,564610,393040,1790630,4873390,1863220,773950,284750,530400,281880,700270,1362260,451510,1692780,1408810,552560,304850,1795490,2457800,1043210,188490,388970,149690,219960,383920,746280,324210,216230,298410,337110,248880,1202370,171500,548590,534120,511280,288140,537740,2015510
