,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
2016年7月,3479170,506760,520740,842020,319030,483640,864770,494200,945410,737250,382560,1985810,4994250,1608140,920180,299090,707510,329810,969900,1754870,565920,1938460,1478760,804910,434500,1443610,2808630,1211270,238970,420460,275400,314340,483460,875880,378070,222260,328220,366340,252720,1403640,234960,578930,601960,576380,304920,626750,2017390
2016年8月,3723560,617240,654070,992560,401510,606530,1121100,641590,1355600,1061120,466300,2387250,5029090,1896510,1319510,461200,971950,496660,1404180,2803120,744080,2775770,1638080,1125890,619580,1668050,3012820,1573830,310620,657380,392760,402190,619130,1074580,512500,292880,451890,448830,368930,1587480,305680,793530,785020,782710,397050,803290,2296080
2016年9月,3179770,454630,548480,805580,320070,478800,841390,433250,922750,706880,377210,1720410,4592190,1554130,838120,297640,724640,276410,748270,1497310,487790,1596350,1301560,720630,368320,1421680,2540750,1050010,201190,362170,258230,303470,440010,789870,419540,193540,322630,321270,237030,1310680,252940,615260,638650,618870,293050,610100,1897000
2016年10月,2918530,500610,676620,879330,361180,542310,926430,460680,995600,773720,398530,1815110,4934200,1609980,931640,344730,798320,313780,661390,1531190,574510,1639060,1351030,820130,422330,1578490,2724960,1100940,244360,389860,233960,334150,468860,884450,428090,214360,359240,365480,244070,1347180,267940,675740,624050,625640,323320,630750,1860560
2016年11月,2174530,368740,474270,800120,264630,423160,850090,475330,876610,687040,379560,1760380,4690490,1573990,751730,255660,774270,337420,601010,1093570,526280,1601630,1361080,787000,431180,1588740,2571260,1144110,221280,388470,244560,327670,433450,816350,396170,212130,331200,369880,240500,1353160,293840,666910,642020,664890,329270,632810,1603930
2016年12月,2644810,310210,443130,771140,213730,393610,813800,479870,764010,720660,381960,1818080,5103180,1621210,772460,222720,637050,303120,533590,1209100,476710,1702120,1376420,794990,353060,1476640,2705100,1167390,171170,357620,216450,236670,378660,674010,374930,177350,269250,281120,175700,1349150,261550,611450,618280,635120,308450,597280,1550150
2017年1月,2920690,273740,450780,711700,194190,372190,859830,388920,669910,646420,330480,1817210,4518080,1382880,869360,223760,598830,244390,427040,1509490,460010,1477380,1267390,609880,266020,1248790,2454430,1038140,135330,330500,203230,208710,378580,619010,286270,138450,231370,289480,163500,1267920,226680,508810,567030,563720,296790,562180,1583060
2017年2月,2910270,293100,418600,724050,190580,423950,836560,410750,626290,636370,334890,1750210,4447830,1352270,888440,241880,615730,254860,420560,1377170,467480,1525400,1233020,575770,269430,1227290,2481100,997690,138570,299780,197440,192880,383830,640360,299150,138870,235660,318180,186480,1287270,217500,563210,584290,558200,375200,602130,1511150
2017年3月,2665550,297210,482450,859740,223570,428210,866520,554360,907680,757520,414290,2234380,5144870,1775840,903770,266940,782690,309130,626410,1371770,538310,1914820,1490450,809080,386920,1629300,2925830,1265230,220020,456230,267950,277380,534430,824470,402310,209140,353170,438980,247480,1386350,263810,732480,711920,705710,394420,784320,1819420
2017年4月,2120350,378530,439430,773920,237720,354380,806800,440820,734430,607010,377730,1974840,5385090,1605590,645650,309490,713900,243510,599590,1127650,491770,1525870,1447140,647270,412430,1658790,2798910,1103650,271610,390330,212710,250960,476120,846000,362230,190130,310000,386860,212980,1329580,254110,607110,656260,594330,291890,653730,1695930
2017年5月,2795280,447380,510900,826470,323360,411450,848340,483820,891060,724840,385800,2006800,5081800,1680820,784650,372990,792640,286170,668580,1482930,540020,1627040,1398380,722210,448430,1740290,2702090,1141090,286190,423830,257350,304000,538870,862240,411180,215200,330720,423890,258370,1426130,258780,725650,725610,656120,355180,735300,1682420
2017年6月,3022820,391210,480300,807740,313790,434880,860770,412800,749540,620250,340180,1878340,4693200,1530960,726320,297280,649770,233070,523880,1096010,413360,1364280,1288840,559700,354660,1473590,2665060,959000,209160,323530,204160,239130,452920,756950,336600,177860,264260,325670,195260,1308410,214560,533900,579610,501470,265590,560250,1738960
2017年7月,3660520,425050,528470,909670,299230,511390,989350,508300,963090,763560,399470,2240950,5208780,1925440,912870,337510,711500,323860,902600,1813230,536350,1885550,1541470,715820,419840,1600140,2892220,1230780,235830,458630,267280,265900,500090,828180,355610,205480,326390,372070,236080,1511010,263390,640890,638370,567880,345470,660420,2051270
2017年8月,3976140,526830,680780,1107960,388580,607870,1209350,646780,1308030,1119070,487340,2702600,5382710,2428590,1332160,487100,948610,500360,1346190,2734290,761070,2729970,1799530,983800,593280,1851990,3134540,1574610,329590,663360,372400,343960,623590,1005960,506980,280170,442820,485350,331310,1696300,300380,866260,837540,742920,454180,820840,2343680
2017年9月,3278760,441320,549980,841730,338480,459410,924190,428610,858180,756740,366350,1968610,4761400,1730120,789980,362270,680320,298720,685650,1548240,503940,1653990,1428140,616850,369710,1541330,2687040,1073200,215400,377680,234160,271050,472050,829000,357650,179500,306780,397870,220840,1429610,239290,563830,633240,558300,317140,624660,1990650
2017年10月,3081160,470630,576700,848430,363700,463160,971190,441670,891240,753050,379790,2031490,5158910,1791060,869640,394140,804840,288000,634620,1499630,533150,1617910,1444770,679750,372950,1664910,2919700,1124020,220830,376200,260330,290970,503270,849940,395910,201750,337260,475630,232330,1439790,244980,664980,670310,607130,368660,669320,1944360
2017年11月,2334600,361910,497050,803250,255730,397130,895400,442110,885730,695260,385060,1977040,4969340,1784720,735680,336560,805040,324650,653660,1160190,505080,1752190,1447430,730530,412480,1740070,2826730,1163370,232370,417900,286090,306350,512700,852500,390980,201230,350620,441720,246080,1456980,247200,690110,696630,686360,382350,701320,1732420
2017年12月,2790820,317360,460450,766170,217250,378150,790110,455420,739060,676590,388760,2054030,5197670,1768040,743510,265580,632800,280040,535490,1268470,454830,1704290,1402830,668450,343490,1545240,2724830,1129810,159490,345010,228590,235600,448970,714620,335770,160390,269360,345090,183790,1461820,242580,621970,597750,608140,347260,612200,1593250
